town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
48,BURLINGTON,NSTAR,National Grid,Comcast; RCN; Verizon,NSTAR,KeySpan,Comcast; RCN
49,CAMBRIDGE,NSTAR,National Grid; NSTAR,Comcast,NSTAR,KeySpan; NSTAR,Comcast
50,CANTON,NSTAR,Bay State,Comcast; Verizon,NSTAR,Bay State; KeySpan,Comcast
51,CARLISLE,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
52,CARVER,NSTAR,NSTAR,Comcast,NSTAR,KeySpan; NSTAR,Adelphia
53,CHARLEMONT,National Grid,None,None,National Grid,None,None
54,CHARLTON,National Grid,None,Charter,National Grid,None,Charter
55,CHATHAM,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
56,CHELMSFORD,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
57,CHELSEA,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
58,CHESHIRE,National Grid,Berkshire Gas,Time Warner,National Grid,Berkshire Gas,Adelphia
59,CHESTER,Municipal,None,Comcast,Municipal,None,Comcast
60,CHESTERFIELD,WMECO,None,None,WMECO,None,None
61,CHICOPEE,Municipal,Bay State,Charter,Municipal,Bay State,Charter
62,CHILMARK,NSTAR,None,Comcast,NSTAR,None,Adelphia
63,CLARKSBURG,National Grid,Berkshire Gas,Time Warner,National Grid,Berkshire Gas,Adelphia
64,CLINTON,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
65,COHASSET,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
66,COLRAIN,WMECO,None,None,WMECO,None,None
67,CONCORD,Municipal,National Grid,Comcast,Municipal,KeySpan,Comcast
68,CONWAY,WMECO,None,Comcast,WMECO,None,Comcast
69,CUMMINGTON,WMECO,None,None,WMECO,None,None
70,DALTON,WMECO,Berkshire Gas,Time Warner,WMECO,Berkshire Gas,Time Warner
71,DANVERS,Municipal,National Grid,Comcast,Municipal,KeySpan,Comcast
72,DARTMOUTH,NSTAR,NSTAR,Comcast,NSTAR,NSTAR,Comcast
73,DEDHAM,NSTAR,NSTAR,Comcast; RCN; Verizon,NSTAR,KeySpan; NSTAR,Comcast; RCN
74,DEERFIELD,WMECO,Berkshire Gas,Comcast,WMECO,Berkshire Gas,Comcast
75,DENNIS,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
76,DIGHTON,National Grid,Bay State,Comcast,National Grid,Bay State,Comcast
77,DOUGLAS,National Grid,None,Charter,National Grid,None,Charter
78,DOVER,NSTAR,Bay State; NSTAR,Comcast,NSTAR,KeySpan; NSTAR,Comcast
79,DRACUT,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
80,DUDLEY,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
81,DUNSTABLE,National Grid,National Grid,Charter; Verizon,National Grid,KeySpan,Charter
82,DUXBURY,NSTAR,Bay State,Comcast,NSTAR,Bay State; KeySpan,Adelphia
83,EAST BRIDGEWATER,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
84,EAST BROOKFIELD,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
85,EAST LONGMEADOW,National Grid,Bay State,Charter,National Grid,Bay State,Charter
